id,type,content,time
15db8fe0-0783-4318-b672-198a2e6060e0,click,Kohlrabi,2025-03-27T11:53:49.054Z
15db8fe0-0783-4318-b672-198a2e6060e0,click,calcium,2025-03-27T11:54:31.280Z
15db8fe0-0783-4318-b672-198a2e6060e0,chat,"I have gout, and my doctor wants me to control my purine intake. I would like to ask whether cruciferous vegetables can trigger gout attacks. Which ones can be eaten in moderation, and which ones should be avoided?",2025-03-27T11:54:37.476Z
,click,,
15db8fe0-0783-4318-b672-198a2e6060e0,click,stir-fried,2025-03-31T07:06:53.263Z
15db8fe0-0783-4318-b672-198a2e6060e0,click,beta-carotene,2025-03-31T07:06:59.692Z
15db8fe0-0783-4318-b672-198a2e6060e0,click,Kohlrabi,2025-03-31T07:10:20.793Z
15db8fe0-0783-4318-b672-198a2e6060e0,click,Kohlrabi,2025-03-31T07:11:50.610Z
15db8fe0-0783-4318-b672-198a2e6060e0,click,Kohlrabi,2025-03-31T07:13:36.738Z
15db8fe0-0783-4318-b672-198a2e6060e0,click,metabolite of indole-3-carbinol,2025-03-31T07:13:43.125Z
15db8fe0-0783-4318-b672-198a2e6060e0,chat,"My child is a picky eater, especially disliking broccoli and cabbage. Do you have any cruciferous vegetable recipes that might make children more willing to eat them?",2025-03-31T08:02:25.093Z
15db8fe0-0783-4318-b672-198a2e6060e0,click,purine,2025-03-31T08:02:45.317Z
15db8fe0-0783-4318-b672-198a2e6060e0,click,purine,2025-03-31T08:03:16.021Z
15db8fe0-0783-4318-b672-198a2e6060e0,click,Brassica genus,2025-03-31T08:03:28.896Z
15db8fe0-0783-4318-b672-198a2e6060e0,click,Kohlrabi,2025-03-31T08:05:33.151Z
15db8fe0-0783-4318-b672-198a2e6060e0,click,health benefits for men,2025-03-31T09:30:33.649Z
test,test,test,2024-04-01T12:00:00Z
da93c024-4530-4e9e-b2ff-46a3eedb363e,recommendation,Get personalized recommendation,2025-04-01T14:02:50.588Z
443e3718-e2a4-4a30-824a-2edbdf08c377,click,鸡腿肉,2025-04-01T14:02:52.952Z
da93c024-4530-4e9e-b2ff-46a3eedb363e,include,鸡腿肉,2025-04-01T14:02:54.252Z
